asunto,categoria
"['actuaciones', 'paliar', 'brecha', 'digital', 'falta', 'competencias', 'digitales', 'población', 'canaria', 'dirigida', 'consejera', 'economía', 'conocimiento']",TRABAJO Y EMPLEO
"['actuaciones', 'paliar', 'brecha', 'digital', 'falta', 'conectividad', 'dirigida', 'consejera', 'economía', 'conocimiento']",TRABAJO Y EMPLEO
"['actuaciones', 'previstas', 'consejo', 'canario', 'deporte', 'financiación', 'prevista', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",ASUNTOS SOCIALES
"['actuaciones', 'previstas', 'puerto', 'caleta', 'sebo', 'graciosa', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",INDUSTRIA
"['actuaciones', 'previstas', 'mejora', 'acceso', 'polígono', 'industrial', 'güímar', 'rotonda', 'carretón', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['actuaciones', 'previstas', 'mejorar', 'forma', 'inmediata', 'corto', 'plazo', 'instalaciones', 'servicio', 'urgencias', 'hospital', 'señora', 'reyes', 'dirigida', 'consejero', 'sanidad']",INDUSTRIA
"['actuaciones', 'previstas', 'ordenar', 'entrada', 'salida', 'tf42', 'altura', 'hospital', 'norte', 'icod', 'vinos', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['actuaciones', 'previstas', 'aguas', 'año', 'lanzarote', 'dirigida', 'consejero', 'transición', 'ecológica', 'lucha', 'cambio', 'climático', 'planificación', 'territorial']",MEDIO AMBIENTE
"['actuaciones', 'impulsar', 'gobierno', 'ayuntamiento', 'palmas', 'canaria', 'actuaciones', 'vivienda', 'carretera', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",ASUNTOS SOCIALES
"['actuaciones', 'realizadas', 'periodo', '20212022', 'muelle', 'san', 'cristóbal', 'palmas', 'canaria', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['actuaciones', 'realizadas', 'periodo', '20212022', 'muelle', 'castillo', 'romeral', 'canaria', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['actuaciones', 'realizadas', 'graciosa', '2021', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",VIDA POLÍTICA
"['actuacionesobras', 'previstas', 'centro', 'salud', 'puertito', 'güímar', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['actualización', 'estudio', 'patologías', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['marco', 'hoja', 'ruta', 'canarias', 'progreso', '2030', 'dirigida', 'consejera', 'economía', 'conocimiento']","PRODUCCIÓN, TECNOLOGÍA E INVESTIGACIÓN"
"['acuerdos', 'reunión', 'consejería', 'economía', 'conocimiento', 'inspección', 'seguridad', 'social', 'dirigida', 'consejera', 'economía', 'conocimiento']",TRABAJO Y EMPLEO
"['acuerdos', 'cerraron', 'reunión', 'mantenida', 'alcaldesa', 'san', 'bartolomé', 'tirajana', 'comisión', 'puerto', 'santa', 'águeda', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['administración', 'servicio', 'encarga', 'arreglos', 'urgentes', 'firme', 'instalaciones', 'patio', 'ceip', 'eduardo', 'rivero', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['afectación', 'consultas', 'oncología', 'fuerteventura', 'sobrecarga', 'traslado', 'oncólogos', 'fuerteventura', 'complejo', 'hospitalario', 'canaria', 'doctor', 'negrín', 'pasar', 'consultas', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['agrupaciones', 'carnaval', 'tenerife', 'acudido', 'ferias', 'turismo', 'año', 'seleccionado', 'conforme', 'criterio', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",ASUNTOS SOCIALES
"['alegaciones', 'remitidas', 'subdirección', 'caladero', 'nacional', 'aguas', 'unión', 'europea', 'incluidas', 'propuesta', 'sector', 'recreativo', 'relación', 'real', 'decreto', 'pesca', 'recreativa', 'aguas', 'exteriores', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['plan', 'mantener', 'flote', 'actividad', 'ganadera', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['acción', 'encaminada', 'promover', 'bajada', 'precios', 'realización', 'grados', 'distancia', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['aplicación', 'canarias', 'real', 'decreto', '10862020', 'flexibilización', 'materia', 'higiene', 'alimentaria', 'referente', 'establecimientos', 'alimentarios', 'pequeños', 'producción', 'elaboran', 'productos', 'tradicionales', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['aportaciones', 'realizadas', 'proyecto', 'ley', 'pesca', 'sostenible', 'investigación', 'pesquera', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['aprobación', 'reglamento', 'previsto', 'artículo', '24', 'ley', '12019', '30', 'enero', 'actividad', 'física', 'deporte', 'canarias', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",ASUNTOS SOCIALES
"['atención', 'situación', 'pobreza', 'mayores', 'canarios', 'retornados', 'venezuela', 'cumplen', '10', 'años', 'residencia', 'acceder', 'prestación', 'contributiva', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['ayudas', 'acoger', 'joven', 'pescador', 'canarias', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']",EDUCACIÓN Y COMUNICACIÓN
"['cálculo', 'coste', 'perdido', 'frutas', 'hortalizas', 'palma', 'consecuencia', 'erupción', 'volcán', 'cumbre', 'vieja', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['cantidad', 'ejecutada', '5', 'millones', 'euros', 'anunciados', 'auxiliar', 'familias', 'palma', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['cantidad', 'gastada', 'abonada', 'bono', 'turístico', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",ASUNTOS SOCIALES
"['cantidad', 'pagar', 'comisionistas', '4', 'millones', 'euros', 'abonados', 'contrato', 'mascarillas', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['celebración', 'concursos', 'oposiciones', 'plazas', 'recogidas', 'ope', 'personal', 'estatutario', 'órganos', 'prestación', 'servicios', 'sanitarios', 'scs', '2021', 'recogidas', 'oferta', 'adicional', 'estabilización', 'temporal', 'personal', 'estatutario', 'órganos', 'prestación', 'servicios', 'sanitarios', 'scs', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['celebración', 'encuentros', 'agencias', 'empresas', 'profesionales', 'feria', 'navartur', '2022', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",ASUNTOS SOCIALES
"['centros', 'escolares', 'públicos', 'adheridos', 'programa', 'ecocomedores', 'canarias', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['cesión', 'ayuntamiento', 'san', 'bartolomé', 'tirajana', 'suelo', 'finalista', 'reposición', 'viviendas', 'matorral', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",ASUNTOS SOCIALES
"['cobertura', 'puestos', 'queden', 'vacantes', 'concurso', 'traslados', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",TRABAJO Y EMPLEO
"['cobro', 'complemento', 'retributivo', 'personal', 'docente', 'coordinador', 'programa', 'estela', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['colaboración', 'aportaciones', 'económicas', 'organizativas', 'promocionales', 'concretas', 'carnaval', 'santa', 'cruz', 'tenerife', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",ASUNTOS SOCIALES
"['colegios', 'institutos', 'pendientes', 'retirada', 'amianto', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['comienzo', 'estudios', 'viruela', 'mono', 'complejo', 'hospitalario', 'universitario', 'canaria', 'doctor', 'negrín', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['comunicación', 'pescadores', 'recreativos', 'forma', 'proceder', 'tratamiento', 'pescado', 'contaminado', 'afectado', 'ciguatoxinas', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['conclusiones', 'feria', 'navartur', '2022', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",ASUNTOS SOCIALES
"['conclusiones', 'reunión', 'mantenida', 'tui', '24', 'marzo', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",ASUNTOS SOCIALES
"['conclusiones', 'desprenden', 'symposium', 'camino', 'santiago', 'volcanes', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",ASUNTOS SOCIALES
"['condiciones', 'quedado', 'obra', 'carretera', 'lp2', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",INDUSTRIA
"['conocimiento', 'situación', 'encuentran', 'hospederías', 'casa', 'mar', 'tenerife', 'años', 'agua', 'caliente', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['conocimiento', 'informes', 'técnicos', 'alertan', 'peligro', 'viviendas', '90', '91', 'puerto', 'rosario', 'obras', 'instalación', 'tuberías', 'combustible', 'dirigida', 'consejero', 'transición', 'ecológica', 'lucha', 'cambio', 'climático', 'planificación', 'territorial']",MEDIO AMBIENTE
"['consejería', 'encargada', 'recuperar', 'dinero', 'pagó', 'contrato', 'mascarillas', 'fecha', 'encomendada', 'misión', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['consideración', 'situación', 'caducidad', 'parque', 'eólico', 'fuerteventura', 'renovables', 'oliva', 'dirigida', 'consejero', 'transición', 'ecológica', 'lucha', 'cambio', 'climático', 'planificación', 'territorial']",MEDIO AMBIENTE
"['constancia', 'esté', 'promoviendo', 'modificación', 'ley', '111986', '11', 'diciembre', 'creación', 'regulación', 'instituto', 'canario', 'hemodonación', 'hemoterapia', 'proceder', 'privatización', 'dirigida', 'consjero', 'hacienda', 'presupuestos', 'asuntos', 'europeos']",ASUNTOS FINANCIEROS
"['constancia', 'cumplimiento', 'planeamiento', 'municipal', 'proyecto', 'obra', 'mayo', 'puerto', 'rosario', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",INDUSTRIA
"['consulta', 'pescadores', 'recreativos', 'protocolo', 'tratamientodestrucción', 'material', 'contaminado', 'ciguatoxinas', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['contacto', 'autoridades', 'marroquíes', 'establecer', 'acuerdos', 'integración', 'menores', 'acompañados', 'realice', 'entorno', 'procedencia', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['convocatoria', 'mesa', 'negociación', 'representantes', 'profesorado', 'religión', 'objeto', 'definir', 'transferencia', 'profesorado', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['coordinación', 'ayuntamiento', 'arona', 'gestiones', 'técnicas', 'urbanísticas', 'puesta', 'funcionamiento', 'ies', 'guaza', 'arona', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['coste', 'campaña', 'instagram', 'destinada', 'jóvenes', 'reino', 'unido', '13', '17', 'años', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",ASUNTOS SOCIALES
"['coste', 'contrato', 'forma', 'selección', 'empresa', 'encargado', 'gestión', 'subvenciones', 'cargo', 'irpf', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['coste', 'desarrollo', 'implementación', 'plataforma', 'online', 'canarian', 'market', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']",INTERCAMBIOS ECONÓMICOS Y COMERCIALES
"['creación', 'consultas', 'especializadas', 'enfermedades', 'islas', 'capitalinas', 'cumplimiento', 'aprobado', '10lpnlp0108', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['creación', 'comisión', 'seguimiento', 'evaluación', 'políticas', 'públicas', 'prevista', 'vii', 'acuerdos', 'concertación', 'social', 'dirigida', 'consejera', 'economía', 'conocimiento']",ASUNTOS SOCIALES
"['creación', 'unidades', 'referencia', 'enfermedades', 'islas', 'capitalinas', 'cumplimiento', 'aprobado', '10lpnlp0108', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['criterio', 'mantenimiento', 'estructura', 'formación', 'básica', 'inicial', 'tramo', 'ii', 'incremento', 'número', 'alumnos', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterio', 'adopta', 'autorización', 'declaración', 'zonas', 'acampada', 'islas', 'regulación', 'dirigida', 'consejero', 'transición', 'ecológica', 'lucha', 'cambio', 'climático', 'planificación', 'territorial']",MEDIO AMBIENTE
"['criterio', 'seguido', 'otorgar', 'subvenciones', 'concurrencia', 'materia', 'comercio', '2021', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",INTERCAMBIOS ECONÓMICOS Y COMERCIALES
"['criterios', 'solvencia', 'capacidad', 'técnica', 'económica', 'exigieron', 'hora', 'formalizar', 'contrato', 'mascarillas', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'aulas', 'mixtas', 'tercer', 'ciclo', 'educación', 'infantil', 'ceip', 'artenara', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'aulas', 'mixtas', 'tercer', 'ciclo', 'educación', 'infantil', 'ceip', 'playitas', 'tuineje', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'aulas', 'mixtas', 'tercer', 'ciclo', 'educación', 'infantil', 'ceo', 'ignacio', 'aldecoa', 'teguise', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'aulas', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'palmas', 'canaria', 'santa', 'cruz', 'tenerife', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'artemi', 'semidán', 'mogán', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'barranco', 'ciervo', 'pájara', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'cabo', 'blanco', 'arona', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'césar', 'manrique', 'puerto', 'cruz', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'concepción', 'rodríguez', 'artiles', 'tías', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'europanéstor', 'álamo', 'palmas', 'canaria', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'garcía', 'escámez', 'santa', 'cruz', 'tenerife', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'josé', 'luis', 'albendea', 'gómez', 'aranda', 'san', 'andrés', 'sauces', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'josé', 'manuel', 'illera', 'mora', 'santa', 'brígida', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'julio', 'delgado', 'delgado', 'icod', 'vinos', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'goleta', 'arucas', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'granadilla', 'abona', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'salud', 'santa', 'cruz', 'tenerife', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'vega', 'icod', 'vinos', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'delicias', 'santa', 'cruz', 'tenerife', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'león', 'castillo', 'palmas', 'canaria', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'maría', 'castrillo', 'garcía', 'oliva', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'mariela', 'cáceres', 'pérez', 'llanos', 'aridane', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'mencey', 'bencomo', 'santa', 'úrsula', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'monseñor', 'socorro', 'lantigua', 'teror', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
